x,y,z
0.6336941,0.60695183,9.645083
0.67678785,0.5351289,9.621142
0.71988165,0.5207643,9.659449
0.6624233,0.46809414,9.688178
0.6576351,0.4154239,9.640296
0.6959407,0.62610465,9.769577
0.72945803,0.6691984,9.769577
0.80128103,0.5207643,9.688178
0.70551705,0.38669476,9.616355
0.6719997,0.58301085,9.898859
0.6672115,1.047466,9.97547
0.70551705,1.119289,9.965893
0.65284693,0.11855567,9.712119
0.6384823,-0.9348477,9.6929655
0.68157613,-0.92527133,9.140000
0.7964928,-0.3458995,9.779154
0.73424625,-0.33632308,9.68339
0.4565308,-1.0641291,9.424827
0.59538853,-2.491012,9.501438
0.6336941,-3.1086895,9.218935
0.7629754,-3.6258147,8.606045
0.6384823,-4.3488326,8.658714
0.43258983,-5.2394376,8.304389
0.6576351,-5.8858438,7.686712
0.7629754,-6.034278,7.3754787
0.62411773,-6.537039,6.3316517
0.52835375,-7.6191716,4.9718037
0.6289059,-9.180124,5.0388384
1.0406909,-8.600752,4.0524697
0.93535054,-8.68694,2.7883852
0.92577416,-9.208853,2.3574474
1.1173021,-9.448263,1.6918881
1.1556077,-9.587121,0.6767902
1.2753127,-9.816954,-0.15635616
1.3231945,-10.434632,-1.1762424
1.3184065,-10.717135,-1.6598501
1.3998058,-10.137763,-1.7843434
1.4381113,-9.577544,-1.6502738
1.3136182,-9.194488,-2.2918923
1.3519238,-10.075517,-3.1729205
1.4524759,-10.324503,-3.1537678
1.30883,-9.812166,-2.7994413
1.2801008,-9.443475,-3.1777089
1.3758647,-9.558391,-3.230379
1.2801008,-9.510509,-2.9574518
1.30883,-9.491357,-3.134615
1.3231945,-9.544027,-3.283049
1.4524759,-9.438687,-3.4554243
1.3615001,-9.984541,-3.6996224
1.3136182,-9.381228,-3.2255907
1.2753127,-9.141818,-3.2399552
1.3615001,-9.462628,-3.354872
1.3184065,-9.405169,-3.5080945
1.3327711,-9.553603,-3.4650009
1.3758647,-9.620638,-3.330931
1.2513716,-9.37644,-3.1968615
1.3519238,-9.61585,-3.345296
1.4285349,-9.644579,-3.2399552
1.3854412,-9.61585,-3.1968615
1.3902295,-9.725978,-3.4362717
1.3854412,-10.09467,-3.1058857
1.2896771,-9.486568,-2.6174898
1.237007,-9.251947,-2.4594793
1.5099343,-9.639791,-2.7036774
1.5434517,-10.329291,-3.086733
1.4141703,-10.49209,-2.5121493
1.3375592,-9.673308,-1.5688745
1.2896771,-8.97902,-0.5872939
1.1795486,-9.074784,0.16924125
1.1077257,-9.630214,0.12614751
1.0311145,-10.817687,0.073477305
1.1220903,-11.219896,0.52356786
1.2513716,-10.736288,1.1268806
1.1747605,-9.80259,2.1563432
0.8922568,-9.074784,2.8458438
0.80606925,-9.386016,3.339028
1.0263263,-8.457106,4.3493376
1.0981493,-6.618438,5.5415993
1.01675,-5.7326217,6.077877
0.8587394,-5.2729545,6.68119
0.88268036,-5.761351,7.0259404
0.9449269,-6.034278,7.5526423
1.0119618,-5.4118123,7.921333
0.85395116,-3.5252626,7.9740033
0.65284693,-1.8972754,8.720962
0.67678785,-0.68586147,9.089653
0.6959407,0.03236813,9.764789
0.7917046,0.36275375,10.262762
0.7438227,1.1288654,10.296279
0.6049649,1.3539107,9.956317
0.60017675,1.6938727,9.280000
0.60975313,1.9380708,10.066444
0.56665933,1.72739,10.099962
0.5618712,1.2150528,9.86534
0.509201,1.2581466,9.836612
0.5187774,2.0003173,9.846188
0.61454135,2.3929496,9.669024
0.7150935,1.8279421,9.448768
0.67678785,1.2916641,9.501438
0.73424625,1.2294176,9.463133
